"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"46";"Vestland";"Rik edellauvskog";"2018-2024";17.69;"Yellow"
"ENCREC_005";"46";"Vestland";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.03;"Yellow"
"ENCREC_005";"46";"Vestland";"Semi-naturlig eng";"2018-2024";4.38;"Yellow"
"ENCREC_005";"46";"Vestland";"Slåttemark";"2018-2024";2.22;"Yellow"
"ENCREC_005";"46";"Vestland";"Store gamle trær";"2018-2024";0.01;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Boreal hei";"2018-2024";17.9;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Boreal regnskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Eng-aktig sterkt endret fastmark";"2018-2024";0.11;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Flomskogsmark";"2018-2024";2.19;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Frisk lågurtedellauvskog";"2018-2024";0.11;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Frisk rik edellauvskog";"2018-2024";0.88;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Gammel furuskog med stående død ved";"2018-2024";0;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Gammel granskog med liggende død ved";"2018-2024";0.26;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Gammel høgstaudegråorskog";"2018-2024";1.14;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Gammel lågurtospeskog";"2018-2024";4.31;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Hagemark";"2018-2024";0.3;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Hule eiker";"2018-2024";0.14;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Kalk- og lågurtfuruskog";"2018-2024";0.03;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Kalkfattig og intermediær fjellhei, leside og tundra";"2018-2024";0.27;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Kalkfattig og klar bekk eller elv";"2018-2024";0.13;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Kystlynghei";"2018-2024";143.57;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Lågurtfuruskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Nakent tørkeutsatt kalkberg";"2018-2024";1.57;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Naturbeitemark";"2018-2024";16.26;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Rik gransumpskog";"2018-2024";0.38;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.01;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Rikmyr";"2018-2024";2.14;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Semi-naturlig eng";"2018-2024";17.2;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Semi-naturlig strandeng";"2018-2024";0.06;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Strandeng";"2018-2024";0.59;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Sørlig nedbørsmyr";"2018-2024";0;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Åpen flomfastmark";"2018-2024";0.43;"Yellow"
"ENCREC_005";"50";"Trøndelag - Trööndelage";"Åpen flommark";"2018-2024";8.44;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Boreal hei";"2018-2024";0.45;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Brakkvannsdelta";"2018-2024";3.45;"Orange"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Flomskogsmark";"2018-2024";1.02;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Hagemark";"2018-2024";0.22;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Kalkbjørkeskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Kalkrik åpen jordvannsmyr i boreonemoral til nordboreal sone";"2018-2024";0.98;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Naturbeitemark";"2018-2024";6.33;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";0.33;"Yellow"
"ENCREC_005";"55";"Troms – Romsa – Tromssa";"Slåtte- og beitemyr";"2018-2024";0.09;"Yellow"
"ENCREC_005";"56";"Finnmark – Finnmárku – Finmarkku";"Aktiv skredmark";"2018-2024";0.44;"Yellow"
"ENCREC_005";"56";"Finnmark – Finnmárku – Finmarkku";"Boreal hei";"2018-2024";0.01;"Yellow"
"ENCREC_005";"56";"Finnmark – Finnmárku – Finmarkku";"Flomskogsmark";"2018-2024";19.69;"Yellow"
"ENCREC_005";"56";"Finnmark – Finnmárku – Finmarkku";"Kalkrik fjellhei, leside og tundra";"2018-2024";0.1;"Yellow"
"ENCREC_005";"56";"Finnmark – Finnmárku – Finmarkku";"Naturbeitemark";"2018-2024";2.22;"Yellow"
