"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"11";"1146";"Tysvær";"2024";244.78;2005.52;"Yellow";"Yellow"
"ENCACC_001";"11";"1146";"Tysvær";"Endring 2018-2024";NA;1808.5;"NA";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2018";207.95;207.95;"Yellow";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2019";117.65;325.6;"Yellow";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2020";358.19;683.79;"Yellow";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2021";323.45;1007.24;"Yellow";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2022";311.57;1318.81;"Yellow";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2023";335.67;1654.48;"Green";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"2024";97.58;1752.06;"Yellow";"Yellow"
"ENCACC_001";"11";"1149";"Karmøy";"Endring 2018-2024";NA;1544.11;"NA";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2018";2.66;2.66;"Yellow";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2019";6.1;8.76;"Yellow";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2020";18.5;27.26;"Yellow";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2021";2;29.26;"Yellow";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2022";6.15;35.41;"Yellow";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2023";0;35.41;"Green";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"2024";0;35.41;"Yellow";"Yellow"
"ENCACC_001";"11";"1151";"Utsira";"Endring 2018-2024";NA;32.75;"NA";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"2018";142.63;142.63;"Yellow";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"2019";115.85;258.48;"Yellow";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"2020";209.19;467.67;"Yellow";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"2021";421.68;889.35;"Yellow";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"2022";184.34;1073.69;"Yellow";"Yellow"
"ENCACC_001";"11";"1160";"Vindafjord";"2023";383.42;1457.11;"Green";"Yellow"
