"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"32";"3214";"Frogn";"Lågurteikeskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"32";"3216";"Vestby";"Gammel furuskog med gamle trær";"2018-2024";2.89;"Yellow"
"ENCREC_005";"32";"3216";"Vestby";"Hule eiker";"2018-2024";4.43;"Yellow"
"ENCREC_005";"32";"3216";"Vestby";"Lågurtalm-lind-hasselskog";"2018-2024";0.53;"Yellow"
"ENCREC_005";"32";"3216";"Vestby";"Store gamle trær";"2018-2024";0.44;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Gammel granskog med liggende død ved";"2018-2024";0.26;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Hagemark";"2018-2024";0.07;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Hule eiker";"2018-2024";4.18;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Kalk- og lågurtfuruskog";"2018-2024";1.74;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Lågurtalm-lind-hasselskog";"2018-2024";0.5;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Lågurtfuruskog";"2018-2024";1.02;"Yellow"
"ENCREC_005";"32";"3218";"Ås";"Naturbeitemark";"2018-2024";2.94;"Yellow"
"ENCREC_005";"32";"3220";"Enebakk";"Gammel lågurtospeskog";"2018-2024";0.76;"Yellow"
"ENCREC_005";"32";"3220";"Enebakk";"Hagemark";"2018-2024";4.15;"Yellow"
"ENCREC_005";"32";"3228";"Nes";"Flomskogsmark";"2018-2024";0.76;"Yellow"
"ENCREC_005";"32";"3228";"Nes";"Ravinedal";"2018-2024";14.51;"Yellow"
"ENCREC_005";"32";"3232";"Nittedal";"Frisk kalkgranskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"3232";"Nittedal";"Gråor-heggeskog";"2018-2024";0.36;"Yellow"
"ENCREC_005";"32";"3232";"Nittedal";"Rik gransumpskog";"2018-2024";0.35;"Yellow"
"ENCREC_005";"32";"3232";"Nittedal";"Semi-naturlig eng";"2018-2024";0.71;"Yellow"
"ENCREC_005";"32";"3234";"Lunner";"Eng-aktig sterkt endret fastmark";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"3234";"Lunner";"Flomskogsmark";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"3234";"Lunner";"Gammel granskog";"2018-2024";0.29;"Yellow"
"ENCREC_005";"32";"3234";"Lunner";"Kalkbarskog, grandominert";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"3234";"Lunner";"Kalkfuruskog";"2018-2024";0.03;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Frisk lågurtedellauvskog";"2018-2024";0.42;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Hule eiker";"2018-2024";0.52;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Kalk- og lågurtfuruskog";"2018-2024";0.31;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Kalkbarskog";"2018-2024";0.03;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Kalkbarskog, grandominert";"2018-2024";0.88;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Kalkfuruskog";"2018-2024";2.24;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Kalkrik alm-lind-hasselskog";"2018-2024";4.82;"Yellow"
"ENCREC_005";"33";"3301";"Drammen";"Lågurteikeskog";"2018-2024";0.55;"Yellow"
