"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"15";"1547";"Aukra";"Kystlynghei";"2018-2024";3.88;"Yellow"
"ENCACC_002";"15";"1554";"Averøy";"Hagemark";"2018-2024";2.94;"Yellow"
"ENCACC_002";"15";"1554";"Averøy";"Kystlynghei";"2018-2024";105.97;"Yellow"
"ENCACC_002";"15";"1554";"Averøy";"Naturbeitemark";"2018-2024";1.51;"Yellow"
"ENCACC_002";"15";"1554";"Averøy";"Terrengdekkende myr";"2018-2024";0.04;"Yellow"
"ENCACC_002";"15";"1560";"Tingvoll";"Slåttemark";"2018-2024";0.1;"Yellow"
"ENCACC_002";"15";"1563";"Sunndal";"Hagemark";"2018-2024";0.02;"Yellow"
"ENCACC_002";"15";"1566";"Surnadal";"Fossepåvirket berg";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"1566";"Surnadal";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"1573";"Smøla";"Boreal hei";"2018-2024";1.79;"Yellow"
"ENCACC_002";"15";"1573";"Smøla";"Kystlynghei";"2018-2024";15.15;"Yellow"
"ENCACC_002";"15";"1573";"Smøla";"Naturbeitemark";"2018-2024";0.25;"Yellow"
"ENCACC_002";"15";"1573";"Smøla";"Semi-naturlig strandeng";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"1576";"Aure";"Kystlynghei";"2018-2024";18.6;"Yellow"
"ENCACC_002";"15";"1576";"Aure";"Semi-naturlig eng";"2018-2024";0.01;"Yellow"
"ENCACC_002";"15";"1576";"Aure";"Strandeng";"2018-2024";0.47;"Yellow"
"ENCACC_002";"15";"1577";"Volda";"Boreal hei";"2018-2024";1.22;"Yellow"
"ENCACC_002";"15";"1577";"Volda";"Flomskogsmark";"2018-2024";0.03;"Yellow"
"ENCACC_002";"15";"1577";"Volda";"Kalkfattig og intermediær fjellhei, leside og tundra";"2018-2024";13.96;"Yellow"
"ENCACC_002";"15";"1577";"Volda";"Lågurtfuruskog";"2018-2024";0;"Yellow"
"ENCACC_002";"15";"1577";"Volda";"Naturbeitemark";"2018-2024";4.18;"Yellow"
"ENCACC_002";"15";"1578";"Fjord";"Kalkskog";"2018-2024";4.62;"Orange"
"ENCACC_002";"15";"1578";"Fjord";"Naturbeitemark";"2018-2024";0.84;"Yellow"
"ENCACC_002";"15";"1578";"Fjord";"Rik blandingsskog i lavlandet";"2018-2024";3.27;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Atlantisk høymyr";"2018-2024";19.85;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Eng-aktig sterkt endret fastmark";"2018-2024";2.11;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Flomskogsmark";"2018-2024";2.22;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Hagemark";"2018-2024";7.64;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Kystlynghei";"2018-2024";65.69;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Naturbeitemark";"2018-2024";3.36;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.03;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Rikmyr";"2018-2024";0.01;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Semi-naturlig eng";"2018-2024";0.02;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Semi-naturlig myr";"2018-2024";7.34;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Terrengdekkende myr";"2018-2024";7.07;"Yellow"
"ENCACC_002";"15";"1579";"Hustadvika";"Viktig bekkedrag";"2018-2024";0.18;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Kystlynghei";"2018-2024";29.92;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Kystmyr";"2018-2024";0.67;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Naturbeitemark";"2018-2024";4;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Rik edellauvskog";"2018-2024";0.67;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Sanddynemark";"2018-2024";0.02;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Semi-naturlig eng";"2018-2024";1.93;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Strandeng";"2018-2024";0.35;"Yellow"
"ENCACC_002";"15";"1580";"Haram";"Terrengdekkende myr";"2018-2024";16.78;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Boreal hei";"2018-2024";2.02;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Eng-aktig sterkt endret fastmark";"2018-2024";0.21;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Erstatningsbiotoper på berg og åpen jord";"2018-2024";0.1;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Gammel lågurtselje-rogneskog";"2018-2024";0.63;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Naturbeitemark";"2018-2024";5;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";1.62;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Rikt strandberg";"2018-2024";6.57;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Semi-naturlig eng";"2018-2024";1.69;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Slåttemark";"2018-2024";0.15;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Åpen flomfastmark";"2018-2024";0.06;"Yellow"
"ENCACC_002";"18";"1804";"Bodø";"Åpen kalkmark";"2018-2024";2.21;"Yellow"
"ENCACC_002";"18";"1806";"Narvik";"Boreal hei";"2018-2024";0.02;"Yellow"
"ENCACC_002";"18";"1818";"Herøy (Nordland)";"Boreal hei";"2018-2024";1.99;"Yellow"
"ENCACC_002";"18";"1818";"Herøy (Nordland)";"Naturbeitemark";"2018-2024";1.1;"Yellow"
"ENCACC_002";"18";"1818";"Herøy (Nordland)";"Strandeng";"2018-2024";0.09;"Yellow"
"ENCACC_002";"18";"1818";"Herøy (Nordland)";"Terrengdekkende myr";"2018-2024";0.55;"Yellow"
"ENCACC_002";"18";"1824";"Vefsn";"Semi-naturlig eng";"2018-2024";0.39;"Yellow"
"ENCACC_002";"18";"1825";"Grane";"Gammel granskog med liggende død ved";"2018-2024";0.24;"Yellow"
"ENCACC_002";"18";"1827";"Dønna";"Kystlynghei";"2018-2024";8.25;"Yellow"
"ENCACC_002";"18";"1827";"Dønna";"Naturbeitemark";"2018-2024";2.1;"Yellow"
"ENCACC_002";"18";"1827";"Dønna";"Strandeng";"2018-2024";0.01;"Yellow"
"ENCACC_002";"18";"1827";"Dønna";"Terrengdekkende myr";"2018-2024";1.25;"Yellow"
"ENCACC_002";"18";"1828";"Nesna";"Strandeng";"2018-2024";0.01;"Yellow"
"ENCACC_002";"18";"1833";"Rana";"Gammel grandominert naturskog";"2018-2024";4.08;"Yellow"
"ENCACC_002";"18";"1833";"Rana";"Gammel lågurtselje-rogneskog";"2018-2024";0.33;"Yellow"
"ENCACC_002";"18";"1834";"Lurøy";"Naturbeitemark";"2018-2024";0.36;"Yellow"
"ENCACC_002";"18";"1836";"Rødøy";"Åpen kalkmark";"2018-2024";0.01;"Yellow"
"ENCACC_002";"18";"1838";"Gildeskål";"Boreal hei";"2018-2024";15.54;"Yellow"
"ENCACC_002";"18";"1838";"Gildeskål";"Nakent tørkeutsatt kalkberg";"2018-2024";0.02;"Yellow"
"ENCACC_002";"18";"1838";"Gildeskål";"Naturbeitemark";"2018-2024";0.08;"Yellow"
"ENCACC_002";"18";"1838";"Gildeskål";"Sanddyne";"2018-2024";3.9;"Yellow"
"ENCACC_002";"18";"1839";"Beiarn";"Flomskogsmark";"2018-2024";0.57;"Yellow"
"ENCACC_002";"18";"1841";"Fauske/Fuossko";"Kalk- og lågurtfuruskog";"2018-2024";0.16;"Yellow"
"ENCACC_002";"18";"1841";"Fauske/Fuossko";"Lågurtfuruskog";"2018-2024";0.48;"Yellow"
"ENCACC_002";"18";"1845";"Sørfold";"Regnskog";"2018-2024";7.57;"Orange"
"ENCACC_002";"18";"1848";"Steigen";"Boreal hei";"2018-2024";0;"Yellow"
"ENCACC_002";"18";"1848";"Steigen";"Naturbeitemark";"2018-2024";0.03;"Yellow"
"ENCACC_002";"18";"1848";"Steigen";"Sanddyne";"2018-2024";5.54;"Yellow"
"ENCACC_002";"18";"1848";"Steigen";"Sanddynemark";"2018-2024";0.77;"Yellow"
"ENCACC_002";"18";"1848";"Steigen";"Semi-naturlig eng";"2018-2024";5.29;"Yellow"
"ENCACC_002";"18";"1851";"Lødingen";"Strandeng og strandsump";"2018-2024";0.07;"Yellow"
"ENCACC_002";"18";"1853";"Evenes/Evenášši";"Kalksjø";"2018-2024";10.79;"Yellow"
"ENCACC_002";"18";"1853";"Evenes/Evenášši";"Naturbeitemark";"2018-2024";0.28;"Yellow"
"ENCACC_002";"18";"1853";"Evenes/Evenášši";"Rikmyr";"2018-2024";56.78;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Atlantisk høymyr";"2018-2024";0.58;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Boreal hei";"2018-2024";13.47;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Kystlynghei";"2018-2024";13.9;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Naturbeitemark";"2018-2024";0.5;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Sanddyne";"2018-2024";5.24;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Sanddynemark";"2018-2024";3.96;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Slåttemark";"2018-2024";0.1;"Yellow"
"ENCACC_002";"18";"1860";"Vestvågøy";"Strandeng";"2018-2024";0.29;"Yellow"
"ENCACC_002";"18";"1865";"Vågan";"Boreal hei";"2018-2024";8.06;"Yellow"
"ENCACC_002";"18";"1868";"Øksnes";"Atlantisk høymyr";"2018-2024";0.03;"Yellow"
"ENCACC_002";"18";"1868";"Øksnes";"Strandeng";"2018-2024";0.23;"Yellow"
"ENCACC_002";"18";"1870";"Sortland/Suortá";"Atlantisk høymyr";"2018-2024";0.09;"Yellow"
"ENCACC_002";"18";"1870";"Sortland/Suortá";"Naturbeitemark";"2018-2024";0;"Yellow"
"ENCACC_002";"18";"1871";"Andøy";"Kystmyr";"2018-2024";3.08;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Frisk lågurtedellauvskog";"2018-2024";0.22;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Gammel furuskog";"2018-2024";9.2;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Hule eiker";"2018-2024";2.18;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Hurtigstrømmende elveløp";"2018-2024";0.57;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Lågurtfuruskog";"2018-2024";4.31;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Rik edellauvskog";"2018-2024";2.63;"Yellow"
"ENCACC_002";"31";"3101";"Halden";"Store gamle trær";"2018-2024";2.58;"Orange"
"ENCACC_002";"31";"3101";"Halden";"Viktig bekkedrag";"2018-2024";0.25;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Eng-aktig sterkt endret fastmark";"2018-2024";0.96;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Frisk lågurtedellauvskog";"2018-2024";0.6;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Gammel fattig edellauvskog";"2018-2024";0.1;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Hule eiker";"2018-2024";11;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Lågurtfuruskog";"2018-2024";0.57;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Naturbeitemark";"2018-2024";2.5;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Rik svartorstrandskog";"2018-2024";1.15;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Sanddynemark";"2018-2024";0.03;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Semi-naturlig strandeng";"2018-2024";0.1;"Yellow"
"ENCACC_002";"31";"3103";"Moss";"Store gamle trær";"2018-2024";0.46;"Orange"
"ENCACC_002";"31";"3103";"Moss";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.03;"Yellow"
"ENCACC_002";"31";"3105";"Sarpsborg";"Hagemark";"2018-2024";0.21;"Yellow"
