"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_002";"46";"Vestland";"2019";701.78;1158.06;"Yellow";"Yellow"
"ENCREC_002";"46";"Vestland";"2020";1221.07;2379.13;"Yellow";"Yellow"
"ENCREC_002";"46";"Vestland";"2021";1418.6;3797.73;"Yellow";"Yellow"
"ENCREC_002";"46";"Vestland";"2022";1458.8;5256.53;"Yellow";"Yellow"
"ENCREC_002";"46";"Vestland";"2023";962.56;6219.09;"Yellow";"Yellow"
"ENCREC_002";"46";"Vestland";"2024";1971.02;8190.11;"Yellow";"Yellow"
"ENCREC_002";"46";"Vestland";"Endring 2018-2024";NA;7733.83;"NA";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2018";661.26;661.26;"Yellow";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2019";1183.6;1844.86;"Yellow";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2020";1288.72;3133.58;"Yellow";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2021";1499.98;4633.56;"Yellow";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2022";1320.39;5953.95;"Yellow";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2023";1399.76;7353.71;"Yellow";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"2024";538.34;7892.05;"Orange";"Yellow"
"ENCREC_002";"50";"Trøndelag - Trööndelage";"Endring 2018-2024";NA;7230.79;"NA";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2018";70.2;70.2;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2019";135.55;205.75;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2020";243.53;449.28;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2021";244.24;693.52;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2022";325.7;1019.22;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2023";419.34;1438.56;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"2024";605.38;2043.94;"Yellow";"Yellow"
"ENCREC_002";"55";"Troms – Romsa – Tromssa";"Endring 2018-2024";NA;1973.74;"NA";"Yellow"
