"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"15";"1577";"Volda";"2019";32916.96;32914.28;"Yellow";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"2020";32890.58;32884.49;"Yellow";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"2021";32914.83;32878.95;"Yellow";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"2022";32906.03;32864.61;"Yellow";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"2023";32910.97;32855.21;"Yellow";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"2024";32919.21;32854.05;"Orange";"Yellow"
"ENCREC_003";"15";"1577";"Volda";"Endring 2018-2024";NA;-63.6399999999994;"NA";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2018";953732.88;953732.88;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2019";953676.58;953671.03;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2020";953698.46;953631.06;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2021";953616.05;953508.68;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2022";953641.74;953411.99;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2023";953630.21;953303.77;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"2024";953596.82;953162.16;"Yellow";"Yellow"
"ENCREC_003";"15";"1578";"Fjord";"Endring 2018-2024";NA;-570.719999999972;"NA";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2018";148230.36;148230.36;"Yellow";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2019";148220.92;148210.77;"Yellow";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2020";148186.42;148156.68;"Yellow";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2021";148222.12;148138.29;"Yellow";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2022";148204.77;148102.55;"Yellow";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2023";148185.72;148047.76;"Green";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"2024";148228.56;148035.81;"Yellow";"Yellow"
"ENCREC_003";"15";"1579";"Hustadvika";"Endring 2018-2024";NA;-194.550000000017;"NA";"Yellow"
"ENCREC_003";"15";"1580";"Haram";"2018";18385.84;18385.84;"Yellow";"Yellow"
"ENCREC_003";"15";"1580";"Haram";"2019";18385.69;18381.9;"Yellow";"Yellow"
"ENCREC_003";"15";"1580";"Haram";"2020";18384.35;18376.62;"Yellow";"Yellow"
"ENCREC_003";"15";"1580";"Haram";"2021";18360.37;18347.36;"Yellow";"Yellow"
